scenario_key,step1_key,label,voice_rate_bps,threshold_ebn0_db,threshold_source,samples,availability,p10_ebn0_db,median_ebn0_db,mean_ebn0_db,std_ebn0_db,p_los,mean_mos_proxy,simulink_mode
open_plain,open,Open plain,1200,4.73731896136704,phy_calibrated,200000,1,22.4787160165477,25.9339640331148,25.8188546691609,2.78353528123071,0.976011265038422,3.59985923206029,matlab_function_block
open_plain,open,Open plain,2400,5.03216451393463,phy_calibrated,200000,1,19.4824609328069,22.9375645577986,22.8293779205709,2.7810302050963,0.976011265038422,3.59918110895226,matlab_function_block
open_plain,open,Open plain,4000,5.21149423015855,phy_calibrated,200000,0.999985,17.2709764498136,20.7254228950618,20.6168380461184,2.78495805013729,0.976011265038422,3.59713578019625,matlab_function_block
forest_edge,suburban,Forest edge,1200,4.73731896136704,phy_calibrated,200000,0.99874,17.5828007562824,25.3189091098662,24.6573716506286,5.38176232065259,0.900964176711519,3.59046237615804,matlab_function_block
forest_edge,suburban,Forest edge,2400,5.03216451393463,phy_calibrated,200000,0.99292,14.6659813331346,22.3022967230902,21.6722861202335,5.37061545157913,0.900964176711519,3.56876399500364,matlab_function_block
forest_edge,suburban,Forest edge,4000,5.21149423015855,phy_calibrated,200000,0.980605,12.4292095013193,20.0701868565014,19.4447179773622,5.36137375295818,0.900964176711519,3.53662741879864,matlab_function_block
canyon_valley,urban,Canyon valley,1200,4.73731896136704,phy_calibrated,200000,0.89955,4.70494330981003,21.905030608776,20.2847228819959,10.7651252650079,0.713622744894524,3.34519620860653,matlab_function_block
canyon_valley,urban,Canyon valley,2400,5.03216451393463,phy_calibrated,200000,0.843095,1.65305266746373,18.9108239100728,17.291525879733,10.7362635632407,0.713622744894524,3.21461315178268,matlab_function_block
canyon_valley,urban,Canyon valley,4000,5.21149423015855,phy_calibrated,200000,0.79807,-0.620423002880765,16.7004400126511,15.076312366753,10.7629691433484,0.713622744894524,3.1072168166478,matlab_function_block
moving_trail,car,Moving trail,1200,4.73731896136704,phy_calibrated,200000,0.766815,0.100163727493642,15.5926124898478,15.2907993546574,11.6867628211411,0.51227883577142,3.03580082361106,matlab_function_block
moving_trail,car,Moving trail,2400,5.03216451393463,phy_calibrated,200000,0.66371,-2.94587881613906,12.7498481420803,12.3236643406527,11.7110312154276,0.51227883577142,2.81102269426884,matlab_function_block
moving_trail,car,Moving trail,4000,5.21149423015855,phy_calibrated,200000,0.60121,-5.09874388414975,10.5411337886629,10.1448923343012,11.6794778871889,0.51227883577142,2.6661735381843,matlab_function_block
tent_shelter,indoor_window,Tent/shelter,1200,4.73731896136704,phy_calibrated,200000,0.44272,-11.4325934198006,2.71251760581268,5.35924246012432,14.5800089731715,0.25699587187843,2.27924656136925,matlab_function_block
tent_shelter,indoor_window,Tent/shelter,2400,5.03216451393463,phy_calibrated,200000,0.360705,-14.4848611275453,-0.328152516838077,2.30042941742365,14.5659227727468,0.25699587187843,2.08635401331061,matlab_function_block
tent_shelter,indoor_window,Tent/shelter,4000,5.21149423015855,phy_calibrated,200000,0.3157,-16.6434741272379,-2.52830559461886,0.142513802404229,14.5964022763304,0.25699587187843,1.97460956637117,matlab_function_block
