scenario_key,step1_key,label,voice_rate_bps,threshold_ebn0_db,frames,availability,frame_error_rate,p10_ebn0_db,median_ebn0_db,max_outage_ms,p95_burst_ms,empirical_p_los
open_plain,open,Open plain,2400,5.0322,15000,0.996533333333333,0.00346666666666667,17.5367875440234,22.1881820366015,40,40,0.977
forest_edge,suburban,Forest edge,2400,5.0322,15000,0.967866666666667,0.0321333333333333,12.1806283035267,21.5656461179483,80,80,0.900666666666667
canyon_valley,urban,Canyon valley,2400,5.0322,15000,0.794133333333333,0.205866666666667,-1.9618277146371,17.0211077756739,440,120,0.7174
moving_trail,car,Moving trail,2400,5.0322,15000,0.6618,0.3382,-5.55448709596703,12.6691974228348,440,160,0.511733333333333
tent_shelter,indoor_window,Tent/shelter,2400,5.0322,15000,0.356933333333333,0.643066666666667,-18.6380323548942,-0.854988760615431,2880,400,0.259133333333333
