scenario,scenario_label,average_snr_margin_db,average_snr_screening_availability,single_state_lognormal_availability,proposed_mixture_availability,average_minus_proposed_pp,single_state_minus_proposed_pp,p10_ebn0_db,median_ebn0_db
open,Open plain,17.812722376637794,1.0,1.0,1.0,0.0,0.0,19.4824609328069,22.9375645577986
suburban,Forest edge,16.69671205269458,1.0,0.999995,0.99292,0.7079999999999975,0.7074999999999942,14.6659813331346,22.3022967230902
urban,Canyon valley,12.462803361790028,1.0,0.993355,0.843095,15.690499999999997,15.025999999999994,1.65305266746373,18.9108239100728
car,Moving trail,7.59609888485584,1.0,0.997345,0.66371,33.629,33.3635,-2.94587881613906,12.7498481420803
indoor_window,Tent/shelter,-2.3032515181726954,0.0,0.96525,0.360705,-36.0705,60.45450000000001,-14.4848611275453,-0.328152516838077
