voice_rate_bps,info_bits_per_frame,frame_duration_ms,ebn0_db,snr_db,frames,bit_errors,frame_errors,ber,fer,target_fer
4000,160,40,1.5,1.5,200,5193,193,0.16228125,0.965,0.01
4000,160,40,2,2,200,3338,170,0.1043125,0.85,0.01
4000,160,40,2.5,2.5,200,1895,135,0.05921875,0.675,0.01
4000,160,40,3,3,200,746,80,0.0233125,0.4,0.01
4000,160,40,3.5,3.5,200,348,55,0.010875,0.275,0.01
4000,160,40,4,4,357,275,40,0.00481442577030812,0.112044817927171,0.01
4000,160,40,4.5,4.5,749,197,40,0.00164385847797063,0.0534045393858478,0.01
4000,160,40,5,5,2000,155,31,0.000484375,0.0155,0.01
4000,160,40,5.5,5.5,2000,33,11,0.000103125,0.0055,0.01
4000,160,40,6,6,2000,12,3,3.75e-05,0.0015,0.01
4000,160,40,6.5,6.5,2000,0,0,0,0,0.01
4000,160,40,7,7,2000,0,0,0,0,0.01
4000,160,40,7.5,7.5,2000,0,0,0,0,0.01
4000,160,40,8,8,2000,0,0,0,0,0.01
4000,160,40,8.5,8.5,2000,0,0,0,0,0.01
4000,160,40,9,9,2000,0,0,0,0,0.01
4000,160,40,9.5,9.5,2000,0,0,0,0,0.01
4000,160,40,10,10,2000,0,0,0,0,0.01
