scenario,scenario_label,average_snr_margin_db,average_snr_screening_availability,single_state_lognormal_availability,proposed_mixture_availability,average_minus_proposed_pp,single_state_minus_proposed_pp,p10_ebn0_db,median_ebn0_db
open,Open plain,22.144886890572426,1.0,1.0,1.0,0.0,0.0,19.46492028237975,22.928168248094593
suburban,Forest edge,21.02887656662921,1.0,1.0,0.99949,0.051000000000001044,0.051000000000001044,14.57467957344874,22.27760350948355
urban,Canyon valley,16.79496787572466,1.0,0.99896,0.91431,8.569000000000004,8.465,1.6801287668010711,18.895919463863216
car,Moving trail,11.92826339879047,1.0,0.999755,0.798785,20.121500000000005,20.096999999999998,-2.9263741520279116,12.575290090158372
indoor_window,Tent/shelter,2.0289129957619343,1.0,0.989065,0.46734,53.266000000000005,52.1725,-14.474494149681192,-0.3882394975814716
