parameter,perturbation,scenario_at_max,baseline_availability,stressed_availability,max_abs_availability_delta_pp,scenario_at_max_c0p01,baseline_c0p01_bit_per_s_hz,stressed_c0p01_bit_per_s_hz,max_abs_c0p01_delta_bit_per_s_hz
NLOS excess loss,+/-5 dB,Tent/shelter,0.469905,0.62449,15.458499999999997,Open plain,1.6611388474307676,0.7631754861067214,0.8979633613240462
PA compression loss,+3 dB,Moving trail,0.801445,0.707185,9.426000000000002,Open plain,1.6611388474307676,1.0592846638818607,0.6018541835489069
LOS probability,+/-0.10,Tent/shelter,0.469905,0.39996,6.994500000000004,Forest edge,0.36239572919136304,1.1681524995396564,0.8057567703482933
Voice threshold,+/-2 dB,Moving trail,0.801445,0.7389,6.254499999999997,Open plain,1.6611388474307676,1.6611388474307676,0.0
Rain/atmospheric loss,+2 dB,Moving trail,0.801445,0.7389,6.254499999999997,Open plain,1.6611388474307676,1.2415636570673776,0.41957519036338997
Shadowing sigma,+/-2 dB,Tent/shelter,0.469905,0.435085,3.482000000000002,Open plain,1.6611388474307676,1.0649752291630927,0.5961636182676748
Posture angle,+/-10 deg,Tent/shelter,0.469905,0.442735,2.7170000000000027,Open plain,1.6611388474307676,1.5885006466241312,0.07263820080663641
Residual Doppler,100 Hz tracked,Moving trail,0.801445,0.797125,0.43199999999999905,Open plain,1.6611388474307676,1.6287464670090264,0.032392380421741196
