scenario,scenario_label,target_p_los,p_ll,retuned_p_nn,stationary_p_los,abs_stationary_error,mean_los_dwell_s,mean_nlos_dwell_s,source_basis
open_plain,Open plain,0.9760112650384218,0.9760112650384218,0.023988734961579616,0.9760112650384218,0.0,41.6862332091151,1.0245783382025158,MATLAB/Simulink co-sim inherited scenario
forest_edge,Forest edge,0.9009641767115191,0.9009641767115191,0.09903582328848065,0.9009641767115191,0.0,10.097356358487628,1.1099220433491122,MATLAB/Simulink co-sim inherited scenario
canyon_valley,Canyon valley,0.7136227448945243,0.7136227448945243,0.2863772551054758,0.7136227448945243,0.0,3.4918974261125926,1.4013006271931583,MATLAB/Simulink co-sim inherited scenario
moving_trail,Moving trail,0.5122788357714197,0.5122788357714197,0.4877211642285803,0.5122788357714197,0.0,2.050351867714582,1.9520619049079806,MATLAB/Simulink co-sim inherited scenario
tent_shelter,Tent/shelter,0.25699587187843004,0.25699587187843004,0.7430041281215699,0.2569958718784301,5.551115123125783e-17,1.3458875424126586,3.8911130855558733,MATLAB/Simulink co-sim inherited scenario
