tcxo_ppm,raw_offset_hz,residual_offset_hz,raw_search_time_ms,closed_loop_search_time_ms
-2.0,-3990.0,-181.6632462536828,972.0,60.0
-1.975,-3940.1250000000005,-157.60395811914822,960.0,60.0
-1.95,-3890.25,-135.8194703388911,948.0,48.0
-1.925,-3840.3749999999995,-159.23809244999566,936.0,60.0
-1.9,-3790.4999999999995,-135.27249119702904,924.0,48.0
-1.875,-3740.6249999999995,-167.56041582873263,912.0,60.0
-1.85,-3690.75,-142.07434934462066,900.0,48.0
-1.825,-3640.875,-152.46905936908544,888.0,60.0
-1.8,-3591.0,-145.3874129474584,876.0,48.0
-1.775,-3541.1249999999995,-155.28758517494998,864.0,60.0
-1.75,-3491.25,-122.72626661594325,852.0,48.0
-1.725,-3441.375,-116.76615922741921,840.0,48.0
-1.7,-3391.4999999999995,-95.02875691825005,828.0,36.0
-1.675,-3341.625,-149.14634639034068,816.0,48.0
-1.65,-3291.7499999999995,-122.10429868147864,804.0,48.0
-1.625,-3241.875,-111.78772061819957,792.0,48.0
-1.6,-3192.0,-114.29199861316982,780.0,48.0
-1.575,-3142.125,-166.67701638691472,768.0,60.0
-1.55,-3092.25,-107.42329473451082,756.0,48.0
-1.525,-3042.3749999999995,-118.49820504972385,744.0,48.0
-1.5,-2992.5,-120.62221960004273,732.0,48.0
-1.475,-2942.625,-78.10058709124058,720.0,36.0
-1.45,-2892.7499999999995,-124.65256380215362,708.0,48.0
-1.4249999999999998,-2842.8749999999995,-85.64560183884817,696.0,36.0
-1.4,-2793.0,-100.88280814649728,684.0,48.0
-1.375,-2743.125,-99.50427007327477,672.0,36.0
-1.35,-2693.25,-108.1027414077336,660.0,48.0
-1.325,-2643.3749999999995,-125.17459024104105,648.0,48.0
-1.2999999999999998,-2593.4999999999995,-103.74506246412037,636.0,48.0
-1.275,-2543.6249999999995,-139.63652014815688,624.0,48.0
-1.25,-2493.75,-114.90730947127923,612.0,48.0
-1.225,-2443.8750000000005,-97.6110091375353,600.0,36.0
-1.2,-2394.0,-90.19413481945514,588.0,36.0
-1.1749999999999998,-2344.1249999999995,-151.780362471803,576.0,60.0
-1.15,-2294.2499999999995,-66.09656578821443,564.0,36.0
-1.125,-2244.375,-120.87931430077542,552.0,48.0
-1.1,-2194.5,-59.499077826599745,540.0,36.0
-1.075,-2144.6249999999995,-140.39871513095508,528.0,48.0
-1.0499999999999998,-2094.7499999999995,-52.771945545616596,516.0,36.0
-1.025,-2044.8749999999998,-133.00943501369034,504.0,48.0
-1.0,-1995.0,-36.586661872833815,492.0,24.0
-0.9749999999999999,-1945.1249999999995,-89.3135923278704,480.0,36.0
-0.95,-1895.2499999999998,-73.80865441934507,468.0,36.0
-0.925,-1845.375,-31.51699824438957,456.0,24.0
-0.8999999999999999,-1795.4999999999998,-42.24454586046453,444.0,24.0
-0.875,-1745.625,-94.80988001765704,432.0,36.0
-0.8499999999999999,-1695.7499999999995,-48.54465314278471,420.0,24.0
-0.825,-1645.8749999999998,-64.79753568867487,408.0,36.0
-0.7999999999999998,-1595.9999999999995,-85.07601224966197,396.0,36.0
-0.7749999999999999,-1546.1249999999998,-36.45109487009617,384.0,24.0
-0.75,-1496.25,-86.04791107924228,372.0,36.0
-0.7249999999999999,-1446.3749999999998,-24.670872899102058,360.0,24.0
-0.7,-1396.5,-32.708853254628536,348.0,24.0
-0.6749999999999998,-1346.6249999999995,-36.294054065151215,336.0,24.0
-0.6499999999999999,-1296.7499999999998,-3.404886771572613,324.0,24.0
-0.625,-1246.875,-92.34652891929775,312.0,36.0
-0.5999999999999999,-1196.9999999999998,-34.98050032987661,300.0,24.0
-0.575,-1147.1249999999998,-102.8154199846972,288.0,48.0
-0.5499999999999998,-1097.2499999999995,-77.91273467210098,276.0,36.0
-0.5249999999999999,-1047.3749999999998,-33.28711150785573,264.0,24.0
-0.5,-997.5,-78.522193364338,252.0,36.0
-0.47499999999999987,-947.6249999999997,-22.669208302929146,240.0,24.0
-0.44999999999999996,-897.7499999999999,-2.9550635242338714,228.0,24.0
-0.4249999999999998,-847.8749999999995,-22.530582467821777,216.0,24.0
-0.3999999999999999,-797.9999999999998,-13.77980836162359,204.0,24.0
-0.375,-748.125,-22.02647587257205,192.0,24.0
-0.34999999999999987,-698.2499999999997,-25.43565103989175,180.0,24.0
-0.32499999999999996,-648.3749999999999,-39.158607764234205,168.0,24.0
-0.2999999999999998,-598.4999999999997,0.0419757977022428,156.0,24.0
-0.2749999999999999,-548.6249999999998,-6.020195230802894,144.0,24.0
-0.25,-498.75,-11.881519599891513,132.0,24.0
-0.22499999999999987,-448.8749999999997,-14.103102168009148,120.0,24.0
-0.19999999999999996,-398.9999999999999,-30.070646295744382,108.0,24.0
-0.17499999999999982,-349.1249999999996,1.0947402947714728,96.0,24.0
-0.1499999999999999,-299.24999999999983,-22.939654650828558,84.0,24.0
-0.125,-249.375,22.01190929573741,72.0,24.0
-0.09999999999999987,-199.49999999999972,-35.519897447355014,60.0,24.0
-0.07499999999999996,-149.62499999999991,-3.2629890163972552,48.0,24.0
-0.04999999999999982,-99.74999999999964,-49.711308441000746,36.0,24.0
-0.02499999999999991,-49.87499999999982,-22.575182221657528,24.0,24.0
0.0,0.0,-6.432514845550418,12.0,24.0
0.02499999999999991,49.87499999999982,-59.22330412889484,24.0,36.0
0.050000000000000266,99.75000000000053,-16.531109289309228,36.0,24.0
0.07500000000000018,149.62500000000034,1.4622875330291718,48.0,24.0
0.10000000000000009,199.50000000000017,-48.16238123367948,60.0,24.0
0.125,249.375,-0.16713156734495271,72.0,24.0
0.1499999999999999,299.24999999999983,18.796439983651627,84.0,24.0
0.17500000000000027,349.1250000000005,28.307613647069964,96.0,24.0
0.20000000000000018,399.00000000000034,43.387825764785795,108.0,24.0
