voice_rate_bps,ebn0_db,coded_ber_proxy,required_ebn0_db
1200.0,-4.0,0.05628195197654147,-1.0
1200.0,-3.5,0.046401275956071325,-1.0
1200.0,-3.0,0.03750612835892598,-1.0
1200.0,-2.5,0.02965528762603682,-1.0
1200.0,-2.0,0.02287840756108532,-1.0
1200.0,-1.5,0.01717254167924599,-1.0
1200.0,-1.0,0.01250081804073755,-1.0
1200.0,-0.5,0.008793810530560829,-1.0
1200.0,0.0,0.005953867147778662,-1.0
1200.0,0.5,0.0038622316428101326,-1.0
1200.0,1.0,0.002388290780932807,-1.0
1200.0,1.5,0.001399804839480233,-1.0
1200.0,2.0,0.0007726748153784446,-1.0
1200.0,2.5,0.0003987963351591626,-1.0
1200.0,3.0,0.00019090777407599314,-1.0
1200.0,3.5,8.399953917901074e-05,-1.0
1200.0,4.0,3.3627228419617505e-05,-1.0
1200.0,4.5,1.2108893277033685e-05,-1.0
1200.0,5.0,3.872108215522035e-06,-1.0
1200.0,5.5,1.0838484217430735e-06,-1.0
1200.0,6.0,2.613067953575199e-07,-1.0
1200.0,6.5,1e-07,-1.0
1200.0,7.0,1e-07,-1.0
1200.0,7.5,1e-07,-1.0
1200.0,8.0,1e-07,-1.0
1200.0,8.5,1e-07,-1.0
1200.0,9.0,1e-07,-1.0
1200.0,9.5,1e-07,-1.0
1200.0,10.0,1e-07,-1.0
2400.0,-4.0,0.07392678244869667,0.7
2400.0,-3.5,0.06264973754068742,0.7
2400.0,-3.0,0.05221625047937075,0.7
2400.0,-2.5,0.04272106197328905,0.7
2400.0,-2.0,0.03423811641645856,0.7
2400.0,-1.5,0.026815069363067816,0.7
2400.0,-1.0,0.02046884562871957,0.7
2400.0,-0.5,0.015182946443173148,0.7
2400.0,0.0,0.010907149892733248,0.7
2400.0,0.5,0.0075600547726732865,0.7
2400.0,1.0,0.0050345732506649225,0.7
2400.0,1.5,0.003206011562893047,0.7
2400.0,2.0,0.0019418700855616713,0.7
2400.0,2.5,0.0011120701404567176,0.7
2400.0,3.0,0.0005981179473148145,0.7
2400.0,3.5,0.00029985568424188675,0.7
2400.0,4.0,0.00013894257107154923,0.7
2400.0,4.5,5.8943009901584125e-05,0.7
2400.0,5.0,2.265030426039681e-05,0.7
2400.0,5.5,7.790477340666307e-06,0.7
2400.0,6.0,2.3662977987969673e-06,0.7
2400.0,6.5,6.252343215078651e-07,0.7
2400.0,7.0,1.4129789905008975e-07,0.7
2400.0,7.5,1e-07,0.7
2400.0,8.0,1e-07,0.7
2400.0,8.5,1e-07,0.7
2400.0,9.0,1e-07,0.7
2400.0,9.5,1e-07,0.7
2400.0,10.0,1e-07,0.7
4000.0,-4.0,0.09092120515836472,2.2
4000.0,-3.5,0.07864960352514258,2.2
4000.0,-3.0,0.06706519832961275,2.2
4000.0,-2.5,0.05628195197654147,2.2
4000.0,-2.0,0.046401275956071325,2.2
4000.0,-1.5,0.03750612835892598,2.2
4000.0,-1.0,0.02965528762603682,2.2
4000.0,-0.5,0.02287840756108532,2.2
4000.0,0.0,0.01717254167924599,2.2
4000.0,0.5,0.01250081804073755,2.2
4000.0,1.0,0.008793810530560829,2.2
4000.0,1.5,0.005953867147778662,2.2
4000.0,2.0,0.0038622316428101326,2.2
4000.0,2.5,0.002388290780932807,2.2
4000.0,3.0,0.001399804839480233,2.2
4000.0,3.5,0.0007726748153784446,2.2
4000.0,4.0,0.0003987963351591626,2.2
4000.0,4.5,0.00019090777407599314,2.2
4000.0,5.0,8.399953917901074e-05,2.2
4000.0,5.5,3.3627228419617505e-05,2.2
4000.0,6.0,1.2108893277033685e-05,2.2
4000.0,6.5,3.872108215522035e-06,2.2
4000.0,7.0,1.0838484217430735e-06,2.2
4000.0,7.5,2.613067953575199e-07,2.2
4000.0,8.0,1e-07,2.2
4000.0,8.5,1e-07,2.2
4000.0,9.0,1e-07,2.2
4000.0,9.5,1e-07,2.2
4000.0,10.0,1e-07,2.2
